tradingtime,deliverytime,price
2025-01-19 10:00:00,2025-01-19 15:00:00,126.19
2025-01-19 10:00:00,2025-01-19 16:00:00,132.615
2025-01-19 10:00:00,2025-01-19 17:00:00,144.745
2025-01-19 10:00:00,2025-01-19 18:00:00,163.01
2025-01-19 10:00:00,2025-01-19 19:00:00,166.66000000000003
2025-01-19 10:00:00,2025-01-19 20:00:00,158.1
2025-01-19 10:00:00,2025-01-19 21:00:00,142.0
2025-01-19 10:00:00,2025-01-19 22:00:00,133.32999999999998
2025-01-19 10:00:00,2025-01-19 23:00:00,124.0
2025-01-20 10:00:00,2025-01-20 12:00:00,208.625
2025-01-20 10:00:00,2025-01-20 13:00:00,210.0
2025-01-20 10:00:00,2025-01-20 14:00:00,198.0
2025-01-20 10:00:00,2025-01-20 15:00:00,225.125
2025-01-20 10:00:00,2025-01-20 16:00:00,244.63
2025-01-20 10:00:00,2025-01-20 17:00:00,281.76
2025-01-20 10:00:00,2025-01-20 18:00:00,289.3
2025-01-20 10:00:00,2025-01-20 19:00:00,282.0
2025-01-20 10:00:00,2025-01-20 20:00:00,197.86
2025-01-20 10:00:00,2025-01-20 21:00:00,166.9
2025-01-20 10:00:00,2025-01-20 22:00:00,153.58
2025-01-20 10:00:00,2025-01-20 23:00:00,139.98000000000002
2025-01-21 10:00:00,2025-01-21 12:00:00,167.445
2025-01-21 10:00:00,2025-01-21 13:00:00,162.52499999999998
2025-01-21 10:00:00,2025-01-21 14:00:00,164.185
2025-01-21 10:00:00,2025-01-21 15:00:00,177.29500000000002
2025-01-21 10:00:00,2025-01-21 16:00:00,195.47
2025-01-21 10:00:00,2025-01-21 17:00:00,223.995
2025-01-21 10:00:00,2025-01-21 18:00:00,247.45499999999998
2025-01-21 10:00:00,2025-01-21 19:00:00,206.93
2025-01-21 10:00:00,2025-01-21 20:00:00,173.74
2025-01-21 10:00:00,2025-01-21 21:00:00,148.88
2025-01-21 10:00:00,2025-01-21 22:00:00,135.01
2025-01-21 10:00:00,2025-01-21 23:00:00,124.62
2025-01-23 10:00:00,2025-01-23 12:00:00,78.5325
2025-01-23 10:00:00,2025-01-23 13:00:00,50.69
2025-01-23 10:00:00,2025-01-23 14:00:00,45.4
2025-01-23 10:00:00,2025-01-23 15:00:00,48.125
2025-01-23 10:00:00,2025-01-23 16:00:00,61.745
2025-01-23 10:00:00,2025-01-23 17:00:00,85.0075
2025-01-23 10:00:00,2025-01-23 18:00:00,117.0
2025-01-23 10:00:00,2025-01-23 19:00:00,106.4
2025-01-23 10:00:00,2025-01-23 20:00:00,91.43
2025-01-23 10:00:00,2025-01-23 21:00:00,79.39
2025-01-23 10:00:00,2025-01-23 22:00:00,79.55
2025-01-23 10:00:00,2025-01-23 23:00:00,68.8625
2025-01-24 10:00:00,2025-01-24 12:00:00,59.68
2025-01-24 10:00:00,2025-01-24 13:00:00,58.0
2025-01-24 10:00:00,2025-01-24 14:00:00,57.0
2025-01-24 10:00:00,2025-01-24 15:00:00,57.65
2025-01-24 10:00:00,2025-01-24 16:00:00,60.5575
2025-01-24 10:00:00,2025-01-24 17:00:00,74.16
2025-01-24 10:00:00,2025-01-24 18:00:00,81.685
2025-01-24 10:00:00,2025-01-24 19:00:00,88.3
2025-01-24 10:00:00,2025-01-24 20:00:00,85.605
2025-01-24 10:00:00,2025-01-24 21:00:00,80.22
2025-01-24 10:00:00,2025-01-24 22:00:00,86.9975
2025-01-24 10:00:00,2025-01-24 23:00:00,81.93
2025-01-25 10:00:00,2025-01-25 12:00:00,98.58
2025-01-25 10:00:00,2025-01-25 13:00:00,91.4175
2025-01-25 10:00:00,2025-01-25 14:00:00,77.61500000000001
2025-01-25 10:00:00,2025-01-25 15:00:00,58.43
2025-01-25 10:00:00,2025-01-25 16:00:00,55.11
2025-01-25 10:00:00,2025-01-25 17:00:00,76.7
2025-01-25 10:00:00,2025-01-25 18:00:00,98.55
2025-01-25 10:00:00,2025-01-25 19:00:00,105.99000000000001
2025-01-25 10:00:00,2025-01-25 20:00:00,105.6
2025-01-25 10:00:00,2025-01-25 21:00:00,92.37
2025-01-25 10:00:00,2025-01-25 22:00:00,86.5025
2025-01-25 10:00:00,2025-01-25 23:00:00,66.0475
2025-01-26 10:00:00,2025-01-26 12:00:00,65.16749999999999
2025-01-26 10:00:00,2025-01-26 13:00:00,45.32
2025-01-26 10:00:00,2025-01-26 14:00:00,25.599999999999998
2025-01-26 10:00:00,2025-01-26 15:00:00,30.75
2025-01-26 10:00:00,2025-01-26 16:00:00,40.09
2025-01-26 10:00:00,2025-01-26 17:00:00,35.2
2025-01-26 10:00:00,2025-01-26 18:00:00,56.2475
2025-01-26 10:00:00,2025-01-26 19:00:00,82.73
2025-01-26 10:00:00,2025-01-26 20:00:00,77.05
2025-01-26 10:00:00,2025-01-26 21:00:00,63.464999999999996
2025-01-26 10:00:00,2025-01-26 22:00:00,46.7975
2025-01-26 10:00:00,2025-01-26 23:00:00,44.62
2025-01-27 10:00:00,2025-01-27 12:00:00,46.35
2025-01-27 10:00:00,2025-01-27 13:00:00,46.06
2025-01-27 10:00:00,2025-01-27 14:00:00,41.3775
2025-01-27 10:00:00,2025-01-27 15:00:00,35.3275
2025-01-27 10:00:00,2025-01-27 16:00:00,39.055
2025-01-27 10:00:00,2025-01-27 17:00:00,65.28999999999999
2025-01-27 10:00:00,2025-01-27 18:00:00,75.935
2025-01-27 10:00:00,2025-01-27 19:00:00,87.1
2025-01-27 10:00:00,2025-01-27 20:00:00,46.8725
2025-01-27 10:00:00,2025-01-27 21:00:00,26.0
2025-01-27 10:00:00,2025-01-27 22:00:00,32.0
2025-01-27 10:00:00,2025-01-27 23:00:00,30.675
2025-01-28 10:00:00,2025-01-28 12:00:00,-0.5400000000000009
2025-01-28 10:00:00,2025-01-28 13:00:00,-1.0
2025-01-28 10:00:00,2025-01-28 14:00:00,-3.35
2025-01-28 10:00:00,2025-01-28 15:00:00,3.9999999999999996
2025-01-28 10:00:00,2025-01-28 16:00:00,8.8
2025-01-28 10:00:00,2025-01-28 17:00:00,15.53
2025-01-28 10:00:00,2025-01-28 18:00:00,47.32
2025-01-28 10:00:00,2025-01-28 19:00:00,70.0025
2025-01-28 10:00:00,2025-01-28 20:00:00,56.0
2025-01-28 10:00:00,2025-01-28 21:00:00,40.822500000000005
2025-01-28 10:00:00,2025-01-28 22:00:00,29.002499999999998
2025-01-28 10:00:00,2025-01-28 23:00:00,17.0
2025-01-29 10:00:00,2025-01-29 12:00:00,88.6
2025-01-29 10:00:00,2025-01-29 13:00:00,89.27000000000001
2025-01-29 10:00:00,2025-01-29 14:00:00,83.5
